object_name,object_value1.jp2,8
10.jp2,
11.jp2,12
12.jp2,16
13.jp2,13
14.jp2,21
15.jp2,21
16.jp2,225
17.jp2,85
18.jp2,25
19.jp2,23
2.jp2,26
20.jp2,
21.jp2,18
22.jp2,121
23.jp2,24
24.jp2,22
25.jp2,36
26.jp2,346
27.jp2,90
28.jp2,319
29.jp2,43
3.jp2,39
30.jp2,13
31.jp2,21
32.jp2,455
33.jp2,613
34.jp2,24
35.jp2,29
36.jp2,635
37.jp2,140
38.jp2,346
39.jp2,132
4.jp2,36
40.jp2,58
41.jp2,316
42.jp2,860
43.jp2,1291
44.jp2,58
45.jp2,15
46.jp2,549
47.jp2,135
48.jp2,343
49.jp2,150
5.jp2,13
50.jp2,
51.jp2,34
52.jp2,767
53.jp2,1882
54.jp2,53
55.jp2,28
56.jp2,35
57.jp2,35
58.jp2,37
59.jp2,4923
6.jp2,21
60.jp2,
61.jp2,4
62.jp2,205
63.jp2,437
64.jp2,22
7.jp2,46
8.jp2,31
9.jp2,3
100.jp2,5
101.jp2,112
102.jp2,471
103.jp2,276
104.jp2,71
105.jp2,111
106.jp2,130
107.jp2,22
108.jp2,4
109.jp2,
110.jp2,
111.jp2,136
112.jp2,111
113.jp2,14
114.jp2,38
115.jp2,76
116.jp2,73
117.jp2,20
118.jp2,7
119.jp2,53
120.jp2,
121.jp2,44
122.jp2,50
123.jp2,23
124.jp2,10
125.jp2,160
126.jp2,8
127.jp2,99
128.jp2,12
129.jp2,3
130.jp2,29
65.jp2,18
66.jp2,35
67.jp2,54
68.jp2,14
69.jp2,
70.jp2,
71.jp2,75
72.jp2,5
73.jp2,54
74.jp2,442
75.jp2,203
76.jp2,121
77.jp2,66
78.jp2,8
79.jp2,
80.jp2,
81.jp2,28
82.jp2,11
83.jp2,19
84.jp2,57
85.jp2,146
86.jp2,150
87.jp2,62
88.jp2,13
89.jp2,20
90.jp2,
91.jp2,35
92.jp2,46
93.jp2,160
94.jp2,518
95.jp2,187
96.jp2,161
97.jp2,83
98.jp2,4
99.jp2,
