object_name,object_value
59.jp2,4923.0
53.jp2,1882.0
43.jp2,1291.0
42.jp2,860.0
52.jp2,767.0
36.jp2,635.0
33.jp2,613.0
46.jp2,549.0
94.jp2,518.0
102.jp2,471.0
32.jp2,455.0
74.jp2,442.0
63.jp2,437.0
38.jp2,346.0
26.jp2,346.0
48.jp2,343.0
28.jp2,319.0
41.jp2,316.0
103.jp2,276.0
16.jp2,225.0
62.jp2,205.0
75.jp2,203.0
95.jp2,187.0
96.jp2,161.0
93.jp2,160.0
125.jp2,160.0
86.jp2,150.0
49.jp2,150.0
85.jp2,146.0
37.jp2,140.0
111.jp2,136.0
47.jp2,135.0
39.jp2,132.0
106.jp2,130.0
22.jp2,121.0
76.jp2,121.0
101.jp2,112.0
105.jp2,111.0
112.jp2,111.0
127.jp2,99.0
27.jp2,90.0
17.jp2,85.0
97.jp2,83.0
115.jp2,76.0
71.jp2,75.0
116.jp2,73.0
104.jp2,71.0
77.jp2,66.0
87.jp2,62.0
44.jp2,58.0
40.jp2,58.0
84.jp2,57.0
73.jp2,54.0
67.jp2,54.0
54.jp2,53.0
119.jp2,53.0
122.jp2,50.0
92.jp2,46.0
7.jp2,46.0
121.jp2,44.0
29.jp2,43.0
3.jp2,39.0
114.jp2,38.0
58.jp2,37.0
4.jp2,36.0
25.jp2,36.0
66.jp2,35.0
91.jp2,35.0
56.jp2,35.0
57.jp2,35.0
51.jp2,34.0
8.jp2,31.0
35.jp2,29.0
130.jp2,29.0
81.jp2,28.0
55.jp2,28.0
2.jp2,26.0
18.jp2,25.0
34.jp2,24.0
23.jp2,24.0
123.jp2,23.0
19.jp2,23.0
24.jp2,22.0
107.jp2,22.0
64.jp2,22.0
31.jp2,21.0
14.jp2,21.0
15.jp2,21.0
6.jp2,21.0
117.jp2,20.0
89.jp2,20.0
83.jp2,19.0
65.jp2,18.0
21.jp2,18.0
12.jp2,16.0
45.jp2,15.0
68.jp2,14.0
113.jp2,14.0
13.jp2,13.0
88.jp2,13.0
30.jp2,13.0
5.jp2,13.0
11.jp2,12.0
128.jp2,12.0
82.jp2,11.0
124.jp2,10.0
1.jp2,8.0
78.jp2,8.0
126.jp2,8.0
118.jp2,7.0
72.jp2,5.0
100.jp2,5.0
108.jp2,4.0
61.jp2,4.0
98.jp2,4.0
129.jp2,3.0
9.jp2,3.0
10.jp2,
20.jp2,
50.jp2,
60.jp2,
109.jp2,
110.jp2,
120.jp2,
69.jp2,
70.jp2,
79.jp2,
80.jp2,
90.jp2,
99.jp2,
